userID,0,1,2,3,4,5,6,7
6715485,15.69,15.69,15.69,20.00,,,,
26079868,15.69,36.60,39.99,,,,,
29265280,15.69,62.05,,,,,,
30637650,15.69,16.25,17.94,,,,,
33854160,15.69,40.65,40.65,,,,,
35185245,15.69,15.69,15.69,15.69,,,,
35197064,15.69,57.40,,,,,,
35902657,15.69,15.69,15.69,15.69,15.69,15.69,,
36113457,15.69,44.31,,,,,,
36472590,15.69,31.01,,,,,,
39378680,15.69,43.53,,,,,,
39616594,15.69,37.84,38.47,50.00,,,,
39912680,15.69,31.73,,,,,,
40102852,15.69,19.81,,,,,,
40180342,15.69,15.69,,,,,,
41414773,15.69,46.34,46.47,,,,,
41551427,15.69,15.69,,,,,,
41616896,15.69,26.91,37.83,,,,,
41676176,15.69,15.69,36.84,39.04,,,,
41788549,15.69,15.69,,,,,,
41841934,15.69,20.13,20.47,35.67,38.18,38.18,39.99,39.99
42082819,15.69,15.69,,,,,,
42150186,15.69,28.87,34.08,34.08,,,,
42262643,15.69,33.08,,,,,,
42441428,15.69,57.71,,,,,,
42544704,15.69,15.69,,,,,,
42607909,15.69,17.07,,,,,,
42782471,15.69,39.99,46.22,,,,,
42939982,15.69,44.31,44.31,,,,,
42980358,15.69,24.99,,,,,,
43151235,15.69,26.33,33.43,,,,,
43290162,15.69,15.69,15.69,15.69,37.64,,,
43348892,15.69,15.69,,,,,,
43476534,15.69,35.27,,,,,,
43516157,15.69,35.36,35.36,60.31,,,,
43530879,15.69,26.30,,,,,,
43626682,15.69,15.69,15.69,,,,,
