userID,1,2,3,4,5,6,7
6335542,"the life, writings and influence of the chinese author sun tzu",,,,,,
6715485,çinli yazar sun tzu hakkında hayatı,,,,,,
11582908,sun tzu,"chinese author sun tzu - about his life, his writings, and his influence to the present day","chinese author sun tzu - about his life, his writings, and his influence to the present day",,,,
13396426,sun tzu,,,,,,
15505671,sun tzu art of war,sun tzu art of war quotes,,,,,
25864227,sun tzu quotes,sun tzu quotes,,,,,
26079868,"chinese author sun tzu - about his life, his writings, and his influence to the present day","chinese author sun tzu - about his life, his writings, and his influence to the present day",the art of war sun tzu,,,,
28282475,sun tzu,,,,,,
28516930,"chinese author sun tzu - about his life, his writings, and his influence to the present day","chinese author sun tzu - about his life, his writings, and his influence to the present day","chinese author sun tzu - about his life, his writings, and his influence to the present day",very heroic endeavor,repeating crossbow,,
33088361,sun tzu free download,,,,,,
34192482,art of war wiki,art of war quotes,,,,,
35185245,sun tzu quotes,sun tzu quotes,,,,,
35196805,sun tzu,,,,,,
35197064,sun tzu,,,,,,
35743341,sun tzu,sun tzu,,,,,
36531316,sun tzu,sun tzu,sun tzu,sun tzu,sun tzu,,
36543765,sun tzu,the art of war,sun tzu,,,,
36736084,"the life, writings and influence of the chinese author sun tzu","the life, writings and influence of the chinese author sun tzu",,,,,
37953692,sun tzu,the art of war sun tzu,the art of war sun tzu,,,,
38366313,"the life, writings and influence of the chinese author sun tzu",,,,,,
38608278,sun tzu war,sun tzu war,sun tzu war,sun tzu war,sun tzu spies,,
39616594,sun tzu,sun tzu,"the life, writings and influence of the chinese author sun tzu",,,,
39934712,"he life, writings and influence of the chinese author sun tzu",,,,,,
40619580,sun tzu,,,,,,
40786788,сунь цзы википедия,сунь цзы википедия,,,,,
41335577,"the life, writings and influence of the chinese author sun tzu","the life, writings and influence of the chinese author sun tzu",,,,,
41742907,history of india,history of india,,,,,
42179203,sun tzu quotes,sun tzu information,sun tzu information,sun tzu quotes,sun tzu quotes,sun tzu information,sun tzu information
42262643,"the life, writings and influence of the chinese author sun tzu","the life, writings and influence of the chinese author sun tzu","the life, writings and influence of the chinese author sun tzu",,,,
42768791,writings and influence of the chinese author sun tzu,,,,,,
43125608,sun tzu,,,,,,
43310837,chinese author sun tzu - about his life,,,,,,
43588858,"the life, writings and influence of the chinese author sun tzu","the life, writings and influence of the chinese author sun tzu","the life, writings and influence of the chinese author sun tzu","the life, writings and influence of the chinese author sun tzu",,,
43626682,"the life, writings and influence of the chinese author sun tzu","the life, writings and influence of the chinese author sun tzu","the life, writings and influence of the chinese author sun tzu",,,,
43665081,el arte de la guerra,el arte de la guerra,,,,,
43691638,"the life, writings and influence of the chinese author sun tzu","the life, writings and influence of the chinese author sun tzu","the life, writings and influence of the chinese author sun tzu","the life, writings and influence of the chinese author sun tzu",,,
