userID,0,1,2,3,4,5,6,7,8
25411600,16.32,1.64,,,,,,,
25864227,16.32,11.73,,,,,,,
34192482,16.32,4.01, 4.01, 0.0,,,,,
35743341,16.32,0.0,,,,,,,
36181479,16.32,8.68, 0.0, 0.0,,,,,
36201092,16.32,0.0, 0.0,,,,,,
36826029,16.32,43.68,,,,,,,
37166767,16.32,0.0,,,,,,,
37741931,16.32,0.0, 0.0, 0.0,,,,,
39642854,16.32,4.79, 0.0, 8.81,,,,,
39764508,16.32,0.0,,,,,,,
40619580,16.32,0.0, 0.0, 1.12, 0.0,,,,
40777535,16.32,0.0, 0.0,,,,,,
41414773,16.32,0.0,,,,,,,
41841934,16.32,0.0, 22.78, 0.0,,,,,
42082819,16.32,8.89,,,,,,,
42262643,16.32,23.68,,,,,,,
42395271,16.32,0.0, 0.0, 0.0,,,,,
42674062,16.32,12.45, 0.0,,,,,,
43055814,16.32,0.0, 8.68, 0.0,,,,,
43509684,16.32,0.0, 0.0, 0.0, 0.0, 0.0,,,
43626682,16.32,0.0, 0.0, 0.0, 0.0,,,,
43631771,16.32,11.76, 0.0, 0.0, 0.0,,,,
43663333,16.32,0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.9
