userID,1,2,3,4,5,6,7,8
25411600,nasa,,,,,,,
25864227,one of president john f. kennedy's national goals was landing a man on the moon,,,,,,,
34192482,nasa,nasa,nasa,,,,,
35743341,"past, present, and possible future of interplanetary missions that are planned by the nasa",,,,,,,
36181479,космическая программа сша,космическая программа сша,первый американский космонавт,,,,,
36201092,"past, present, and possible future of interplanetary missions that are planned by the nasa","past, present, and possible future of interplanetary missions that are planned by the nasa",,,,,,
36826029,future nasa missions,,,,,,,
37166767,nasa,,,,,,,
37741931,interplanetary missions that are planned by the nasa,interplanetary missions that are planned by the nasa,interplanetary missions that are planned by the nasa,,,,,
39642854,nasa,nasa,nasa,,,,,
39764508,"pasado, el presente y el futuro posible de las misiones interplanetarias planificadas por la nasa",,,,,,,
40619580,"past, present, and possible future of interplanetary missions that are planned by the nasa","past, present, and possible future of interplanetary missions that are planned by the nasa",nasa,nasa,,,,
40777535,"past, present, and possible future of interplanetary missions that are planned by the nasa",the apollo program was the first united states human spaceflight program orbit as the first human,,,,,,
41414773,"past, present, and possible future of interplanetary missions that are planned by the nasa",,,,,,,
41841934,"past, present, and possible future of interplanetary missions that are planned by the nasa","past, present, and possible future of interplanetary missions that are planned by the nasa","past, present, and possible future of interplanetary missions that are planned by the nasa",,,,,
42082819,nasa,,,,,,,
42262643,"past, present, and possible future of interplanetary missions that are plantheory of evolution wiki",,,,,,,
42395271,"pasado, presente y futuro de la nasa",misiones interplanetarias que están planificadas por la nasa,misiones interplanetarias que están planificadas por la nasa,,,,,
42674062,nasa,el rover de curiosity en marte está en medio de su novena campaña,,,,,,
43055814,"ast, present, and possible future of interplanetary missions that are planned by the nasa","ast, present, and possible future of interplanetary missions that are planned by the nasa",what nasa stands for,,,,,
43509684,"past, present, and possible future of interplanetary missions that are planned by the nasa","past, present, and possible future of interplanetary missions that are planned by the nasa","past, present, and possible future of interplanetary missions that are planned by the nasa","past, present, and possible future of interplanetary missions that are planned by the nasa","past, present, and possible future of interplanetary missions that are planned by the nasa",,,
43626682,"past, present, and possible future of interplanetary missions that are planned by the nasa","past, present, and possible future of interplanetary missions that are planned by the nasa",theory of evolution,"past, present, and possible future of interplanetary missions that are planned by the nasa",,,,
43631771,nasa,nasa,mercury mission,apolo mision,,,,
43663333,nasa,nasa,apollo nasa,voyager,voyager,hubble telescope,skylab,skylab
