userID,1,2,3,4,5,6,7,8,9
11582908,d1,d4,,,,,,,
13396426,d1,,,,,,,,
19298085,d1,d4,,,,,,,
33792477,d1,d2,d13,,,,,,
34427707,d1,d1,,,,,,,
34464644,d1,d1,d2,,,,,,
35902657,d22,d22,d23,d23,,,,,
36531316,d1,d1,d4,d8,d21,,,,
36736084,d1,,,,,,,,
36931574,d1,d2,d8,,,,,,
37114649,d1,,,,,,,,
37660122,d1,d1,d1,,,,,,
37741931,d1,d4,d6,d20,,,,,
37953692,d1,d2,d12,,,,,,
38366313,d1,,,,,,,,
38687457,d1,,,,,,,,
39934712,d1,,,,,,,,
40180342,d1,d2,d4,,,,,,
40491785,d15,d26,d27,,,,,,
40619580,d1,,,,,,,,
40861787,d1,d4,d4,,,,,,
41335577,d1,d2,d2,d3,d4,d6,d7,d7,d11
41571219,d1,d4,,,,,,,
41616896,d1,,,,,,,,
41618465,d1,,,,,,,,
41914129,d1,d2,d3,,,,,,
42128050,d1,d1,d2,d4,,,,,
42262643,d1,,,,,,,,
42493826,d1,,,,,,,,
43125608,d1,,,,,,,,
43310837,d1,,,,,,,,
43507316,d5,,,,,,,,
43588858,d1,d2,d4,d8,,,,,
43687043,d1,d4,,,,,,,
43691638,d1,d2,d20,,,,,,
